,id,X_cluster_5
0,21-186G-1161,2
1,21-186G-1172,2
2,21-186G-1190,2
3,21-186G-1193,2
4,21-186G-12,0
5,21-186G-1201,2
6,21-186G-1215,2
7,21-186G-122,2
8,21-186G-123,0
9,21-186G-1234,0
10,21-186G-1235,2
11,21-186G-1244,1
12,21-186G-1245,2
13,21-186G-1247,2
14,21-186G-1248,2
15,21-186G-1249,0
16,21-186G-1252,0
17,21-186G-1261,0
18,21-186G-1269,2
19,21-186G-127,2
20,21-186G-1271,2
21,21-186G-1275,1
22,21-186G-1289,3
23,21-186G-1291,1
24,21-186G-1298,2
25,21-186G-1299,1
26,21-186G-13,1
27,21-186G-1301,2
28,21-186G-1302,1
29,21-186G-1308,2
30,21-186G-1309,0
31,21-186G-1311,0
32,21-186G-1312,1
33,21-186G-1315,2
34,21-186G-1327,2
35,21-186G-1330,2
36,21-186G-1334,2
37,21-186G-1357,2
38,21-186G-1371,3
39,21-186G-1428,2
40,21-186G-1432,3
41,21-186G-1437,2
42,21-186G-1442,2
43,21-186G-1449,2
44,21-186G-1456,2
45,21-186G-1460,2
46,21-186G-1461,2
47,21-186G-1467,2
48,21-186G-1468,2
49,21-186G-1470,2
50,21-186G-1473,0
51,21-186G-1474,2
52,21-186G-1476,0
53,21-186G-1482,2
54,21-186G-1484,2
55,21-186G-1485,2
56,21-186G-1486,2
57,21-186G-1494,2
58,21-186G-1499,2
59,21-186G-1505,3
60,21-186G-1514,2
61,21-186G-1518,0
62,21-186G-1519,1
63,21-186G-1520,0
64,21-186G-1522,4
65,21-186G-1523,2
66,21-186G-153,1
67,21-186G-1537,1
68,21-186G-1538,2
69,21-186G-1543,0
70,21-186G-1545,2
71,21-186G-1550,2
72,21-186G-1555,0
73,21-186G-1556,1
74,21-186G-1569,1
75,21-186G-1577,1
76,21-186G-1582,0
77,21-186G-159,4
78,21-186G-1590,2
79,21-186G-1593,0
80,21-186G-1598,4
81,21-186G-1599,1
82,21-186G-1602,2
83,21-186G-1611,1
84,21-186G-1616,2
85,21-186G-1629,0
86,21-186G-1632,0
87,21-186G-164,1
88,21-186G-1644,4
89,21-186G-1648,2
90,21-186G-169,2
91,21-186G-1725,1
92,21-186G-1728,4
93,21-186G-1730,2
94,21-186G-1759,2
95,21-186G-1760,2
96,21-186G-1775,2
97,21-186G-1780,1
98,21-186G-1781,2
99,21-186G-1799,4
100,21-186G-18,0
101,21-186G-1812,1
102,21-186G-1827,0
103,21-186G-1831,0
104,21-186G-184,2
105,21-186G-1856,2
106,21-186G-1864,1
107,21-186G-1865,1
108,21-186G-1866,2
109,21-186G-1869,1
110,21-186G-1875,4
111,21-186G-1876,1
112,21-186G-1879,2
113,21-186G-1882,2
114,21-186G-1898,2
115,21-186G-1905,1
116,21-186G-1915,1
117,21-186G-1917,1
118,21-186G-1928,1
119,21-186G-193,1
120,21-186G-1931,4
121,21-186G-1943,4
122,21-186G-1944,3
123,21-186G-195,2
124,21-186G-197,1
125,21-186G-20,0
126,21-186G-200,0
127,21-186G-2020,1
128,21-186G-2021,2
129,21-186G-2022,2
130,21-186G-2033,1
131,21-186G-2036,0
132,21-186G-2037,1
133,21-186G-204,3
134,21-186G-2045,0
135,21-186G-2047,1
136,21-186G-2048,4
137,21-186G-2050,2
138,21-186G-2052,1
139,21-186G-2055,0
140,21-186G-2057,2
141,21-186G-2063,1
142,21-186G-2065,1
143,21-186G-2069,2
144,21-186G-207,2
145,21-186G-2072,1
146,21-186G-2073,0
147,21-186G-2075,2
148,21-186G-2076,0
149,21-186G-2085,2
150,21-186G-2086,2
151,21-186G-2087,2
152,21-186G-2091,2
153,21-186G-2092,2
154,21-186G-2094,2
155,21-186G-2099,2
156,21-186G-2107,1
157,21-186G-2108,3
158,21-186G-211,2
159,21-186G-2111,2
160,21-186G-2113,2
161,21-186G-2114,2
162,21-186G-2115,0
163,21-186G-2117,2
164,21-186G-2120,2
165,21-186G-2128,2
166,21-186G-2129,0
167,21-186G-2130,0
168,21-186G-2137,0
169,21-186G-2140,2
170,21-186G-2142,2
171,21-186G-2147,1
172,21-186G-2148,0
173,21-186G-2153,2
174,21-186G-2155,2
175,21-186G-2162,0
176,21-186G-2168,0
177,21-186G-217,1
178,21-186G-2183,2
179,21-186G-22,2
180,21-186G-2200,1
181,21-186G-2205,1
182,21-186G-2208,1
183,21-186G-2210,2
184,21-186G-2212,2
185,21-186G-2216,0
186,21-186G-2231,2
187,21-186G-2239,0
188,21-186G-2240,2
189,21-186G-225,2
190,21-186G-2315,0
191,21-186G-2319,2
192,21-186G-2324,2
193,21-186G-2325,2
194,21-186G-2330,2
195,21-186G-2331,2
196,21-186G-2333,2
197,21-186G-2334,2
198,21-186G-2336,2
199,21-186G-2338,2
200,21-186G-2343,2
201,21-186G-2344,0
202,21-186G-2353,1
203,21-186G-2364,0
204,21-186G-2366,1
205,21-186G-2371,1
206,21-186G-2380,2
207,21-186G-2381,1
208,21-186G-2382,0
209,21-186G-2394,0
210,21-186G-2397,1
211,21-186G-2398,1
212,21-186G-2404,2
213,21-186G-2405,2
214,21-186G-2408,0
215,21-186G-2409,0
216,21-186G-2410,2
217,21-186G-2414,2
218,21-186G-2419,3
219,21-186G-2426,1
220,21-186G-2444,0
221,21-186G-245,2
222,21-186G-2451,1
223,21-186G-2452,2
224,21-186G-2457,4
225,21-186G-2467,1
226,21-186G-247,4
227,21-186G-2473,2
228,21-186G-250,2
229,21-186G-2506,2
230,21-186G-2510,2
231,21-186G-2527,2
232,21-186G-2535,2
233,21-186G-2543,1
234,21-186G-2554,4
235,21-186G-2555,0
236,21-186G-2569,4
237,21-186G-2582,1
238,21-186G-2586,2
239,21-186G-259,0
240,21-186G-2596,2
241,21-186G-2607,4
242,21-186G-2612,1
243,21-186G-2614,1
244,21-186G-2615,0
245,21-186G-2618,1
246,21-186G-2619,1
247,21-186G-262,4
248,21-186G-2621,2
249,21-186G-2627,2
250,21-186G-2632,2
251,21-186G-2640,0
252,21-186G-265,0
253,21-186G-2654,0
254,21-186G-2658,0
255,21-186G-2659,0
256,21-186G-266,2
257,21-186G-2660,2
258,21-186G-2663,2
259,21-186G-2667,1
260,21-186G-2668,1
261,21-186G-267,1
262,21-186G-2671,0
263,21-186G-2672,2
264,21-186G-2673,2
265,21-186G-2674,2
266,21-186G-2675,2
267,21-186G-2679,2
268,21-186G-268,0
269,21-186G-270,0
270,21-186G-2701,2
271,21-186G-2705,2
272,21-186G-2708,2
273,21-186G-2711,2
274,21-186G-2712,0
275,21-186G-2719,2
276,21-186G-272,2
277,21-186G-2724,1
278,21-186G-2728,2
279,21-186G-2734,1
280,21-186G-2737,4
281,21-186G-274,2
282,21-186G-276,4
283,21-186G-2763,1
284,21-186G-2765,0
285,21-186G-2768,0
286,21-186G-2770,1
287,21-186G-2771,4
288,21-186G-2774,1
289,21-186G-2780,2
290,21-186G-2781,2
291,21-186G-2782,2
292,21-186G-2784,2
293,21-186G-2785,2
294,21-186G-2786,0
295,21-186G-2788,2
296,21-186G-2789,1
297,21-186G-279,1
298,21-186G-2795,0
299,21-186G-2802,2
300,21-186G-2805,2
301,21-186G-2824,2
302,21-186G-288,2
303,21-186G-289,2
304,21-186G-29,1
305,21-186G-2908,1
306,21-186G-2911,0
307,21-186G-2913,4
308,21-186G-2915,1
309,21-186G-2918,1
310,21-186G-2924,2
311,21-186G-2925,1
312,21-186G-2926,1
313,21-186G-2929,1
314,21-186G-2930,4
315,21-186G-2931,1
316,21-186G-2936,2
317,21-186G-294,2
318,21-186G-2944,0
319,21-186G-2945,1
320,21-186G-2947,1
321,21-186G-2951,2
322,21-186G-2954,2
323,21-186G-2957,0
324,21-186G-2958,1
325,21-186G-2961,1
326,21-186G-2964,0
327,21-186G-2965,0
328,21-186G-2971,4
329,21-186G-2972,2
330,21-186G-2977,2
331,21-186G-2980,0
332,21-186G-2981,0
333,21-186G-2984,2
334,21-186G-30,2
335,21-186G-3017,1
336,21-186G-3024,1
337,21-186G-3034,1
338,21-186G-3044,4
339,21-186G-305,0
340,21-186G-3061,4
341,21-186G-3064,2
342,21-186G-307,0
343,21-186G-3070,2
344,21-186G-3074,0
345,21-186G-3076,2
346,21-186G-3085,0
347,21-186G-3088,2
348,21-186G-3098,2
349,21-186G-3100,2
350,21-186G-3103,0
351,21-186G-3104,0
352,21-186G-3110,0
353,21-186G-312,2
354,21-186G-3121,2
355,21-186G-3123,2
356,21-186G-3128,2
357,21-186G-3135,2
358,21-186G-3136,2
359,21-186G-3139,2
360,21-186G-3151,2
361,21-186G-3152,2
362,21-186G-316,4
363,21-186G-3165,0
364,21-186G-319,1
365,21-186G-3196,2
366,21-186G-3197,2
367,21-186G-3201,2
368,21-186G-3203,2
369,21-186G-3205,1
370,21-186G-3209,0
371,21-186G-3216,4
372,21-186G-3219,1
373,21-186G-3220,1
374,21-186G-3228,2
375,21-186G-323,1
376,21-186G-3232,2
377,21-186G-3236,2
378,21-186G-3238,2
379,21-186G-3240,2
380,21-186G-3241,1
381,21-186G-3243,1
382,21-186G-3246,2
383,21-186G-3247,2
384,21-186G-3249,2
385,21-186G-3250,2
386,21-186G-3251,2
387,21-186G-3254,2
388,21-186G-3256,2
389,21-186G-3258,2
390,21-186G-3259,3
391,21-186G-3262,0
392,21-186G-3265,3
393,21-186G-3266,3
