customer,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
21-186G-1161,20,28,20829.000000000007,3,4,3,343
21-186G-1172,1,77,29136.67000000001,1,2,3,123
21-186G-1190,0,39,14007.53,1,3,4,134
21-186G-1193,34,34,14927.869999999995,3,3,4,334
21-186G-12,7,128,99521.95999999998,2,1,1,211
21-186G-1201,11,102,44137.51999999998,2,1,2,212
21-186G-1215,11,24,8623.1,2,4,4,244
21-186G-122,11,55,19851.380000000005,2,3,3,233
21-186G-123,0,107,77068.79999999999,1,1,1,111
21-186G-1234,367,49,47848.23999999999,4,3,2,432
21-186G-1235,4,54,37130.06,2,3,3,233
21-186G-1244,4,119,60430.79999999999,2,1,2,212
21-186G-1245,53,6,1033.5700000000002,4,4,4,444
21-186G-1247,28,20,9945.53,3,4,4,344
21-186G-1248,368,118,47363.64999999999,4,1,2,412
21-186G-1249,367,34,16957.46,4,3,4,434
21-186G-1252,10,122,136040.58,2,1,1,211
21-186G-1261,26,49,36088.509999999995,3,3,3,333
21-186G-1269,380,21,12579.47,4,4,4,444
21-186G-127,378,10,5617.560000000001,4,4,4,444
21-186G-1271,371,51,30742.799999999992,4,3,3,433
21-186G-1275,1,48,56553.69,1,3,2,132
21-186G-1289,1,59,38346.09,1,3,2,132
21-186G-1291,2,18,14877.969999999998,1,4,4,144
21-186G-1298,54,28,24103.04,4,4,3,443
21-186G-1299,4,60,46657.67,2,2,2,222
21-186G-13,7,90,70308.32,2,2,1,221
21-186G-1301,43,25,17965.680000000004,3,4,4,344
21-186G-1302,3,136,111642.25999999998,1,1,1,111
21-186G-1308,56,66,32312.269999999997,4,2,3,423
21-186G-1309,3,132,82748.53000000001,1,1,1,111
21-186G-1311,0,151,112995.11000000012,1,1,1,111
21-186G-1312,37,48,31271.040000000005,3,3,3,333
21-186G-1315,10,27,15533.330000000002,2,4,4,244
21-186G-1327,4,78,54412.51999999995,2,2,2,222
21-186G-1330,72,37,29299.589999999993,4,3,3,433
21-186G-1334,2,111,73027.25,1,1,1,111
21-186G-1357,43,44,37873.54999999999,3,3,2,332
21-186G-1371,0,72,123050.67,1,2,1,121
21-186G-1428,62,26,44164.47,4,4,2,442
21-186G-1432,365,40,46723.009999999995,4,3,2,432
21-186G-1437,375,9,13794.689999999999,4,4,4,444
21-186G-1442,11,33,20955.26,2,3,3,233
21-186G-1449,21,33,17523.38,3,3,4,334
21-186G-1456,47,45,27382.130000000005,3,3,3,333
21-186G-1460,35,8,4776.1900000000005,3,4,4,344
21-186G-1461,3,51,25280.47,1,3,3,133
21-186G-1467,18,27,12235.780000000002,3,4,4,344
21-186G-1468,372,55,22138.839999999997,4,3,3,433
21-186G-1470,8,24,21952.71,2,4,3,243
21-186G-1473,2,57,33550.02999999999,1,3,3,133
21-186G-1474,9,61,36895.38,2,2,3,223
21-186G-1476,3,121,58350.59999999999,1,1,2,112
21-186G-1482,4,75,40659.06999999999,2,2,2,222
21-186G-1484,0,73,35201.66999999999,1,2,3,123
21-186G-1485,28,19,7134.389999999999,3,4,4,344
21-186G-1486,18,13,5440.37,3,4,4,344
21-186G-1494,2,15,5497.81,1,4,4,144
21-186G-1499,376,34,14258.27,4,3,4,434
21-186G-1505,382,62,81847.18,4,2,1,421
21-186G-1514,22,17,21673.499999999996,3,4,3,343
21-186G-1518,37,32,37738.69999999999,3,4,2,342
21-186G-1519,367,45,42319.56000000001,4,3,2,432
21-186G-1520,2,66,62209.14000000001,1,2,2,122
21-186G-1522,8,47,50204.189999999995,2,3,2,232
21-186G-1523,5,55,49290.73,2,3,2,232
21-186G-153,157,17,11923.18,4,4,4,444
21-186G-1537,391,15,15450.01,4,4,4,444
21-186G-1538,416,16,13958.199999999997,4,4,4,444
21-186G-1543,366,34,26769.219999999998,4,3,3,433
21-186G-1545,376,53,41842.610000000015,4,3,2,432
21-186G-1550,0,49,40815.85000000001,1,3,2,132
21-186G-1555,6,92,55049.669999999955,2,2,2,222
21-186G-1556,12,34,12079.850000000002,3,3,4,334
21-186G-1569,17,24,8924.32,3,4,4,344
21-186G-1577,7,41,20564.870000000003,2,3,3,233
21-186G-1582,1,127,117016.18000000002,1,1,1,111
21-186G-159,8,59,64702.85999999998,2,3,2,232
21-186G-1590,2,43,15133.55,1,3,4,134
21-186G-1593,81,61,33864.65000000001,4,2,3,423
21-186G-1598,6,229,190500.53999999983,2,1,1,211
21-186G-1599,25,66,42994.900000000016,3,2,2,322
21-186G-1602,365,45,33537.469999999994,4,3,3,433
21-186G-1611,379,36,18187.510000000002,4,3,4,434
21-186G-1616,368,35,22494.48,4,3,3,433
21-186G-1629,27,62,52158.50999999999,3,2,2,322
21-186G-1632,0,121,93402.53000000001,1,1,1,111
21-186G-164,365,28,19112.12,4,4,3,443
21-186G-1644,8,104,68945.06000000001,2,1,2,212
21-186G-1648,0,95,55992.990000000005,1,2,2,122
21-186G-169,254,8,4511.59,4,4,4,444
21-186G-1725,1,56,27339.240000000005,1,3,3,133
21-186G-1728,3,110,75122.50000000003,1,1,1,111
21-186G-1730,6,22,11507.42,2,4,4,244
21-186G-1759,4,59,18022.049999999996,2,3,4,234
21-186G-1760,398,25,12457.84,4,4,4,444
21-186G-1775,5,19,6421.649999999999,2,4,4,244
21-186G-1780,0,25,7751.600000000002,1,4,4,144
21-186G-1781,5,62,40016.16999999999,2,2,2,222
21-186G-1799,25,31,25597.820000000003,3,4,3,343
21-186G-18,13,55,42908.81,3,3,2,332
21-186G-1812,4,153,75757.95999999998,2,1,1,211
21-186G-1827,376,45,94226.67000000001,4,3,1,431
21-186G-1831,396,18,41520.82,4,4,2,442
21-186G-184,3,102,50049.92000000001,1,1,2,112
21-186G-1856,10,43,23161.040000000008,2,3,3,233
21-186G-1864,365,100,27179.01,4,2,3,423
21-186G-1865,368,43,11241.140000000001,4,3,4,434
21-186G-1866,2,43,40940.49,1,3,2,132
21-186G-1869,330,12,10692.62,4,4,4,444
21-186G-1875,84,20,17670.56,4,4,4,444
21-186G-1876,0,94,59880.38999999999,1,2,2,122
21-186G-1879,4,54,38866.320000000014,2,3,2,232
21-186G-1882,367,40,16681.739999999998,4,3,4,434
21-186G-1898,16,34,20731.079999999994,3,3,3,333
21-186G-1905,12,21,11407.21,3,4,4,344
21-186G-1915,40,18,8818.689999999999,3,4,4,344
21-186G-1917,80,18,10341.02,4,4,4,444
21-186G-1928,1,89,37309.57,1,2,2,122
21-186G-193,11,54,37440.20999999999,2,3,2,232
21-186G-1931,8,31,38296.52,2,4,2,242
21-186G-1943,4,105,122021.38,2,1,1,211
21-186G-1944,17,104,101309.21000000002,3,1,1,311
21-186G-195,6,19,10701.069999999998,2,4,4,244
21-186G-197,5,115,56609.270000000004,2,1,2,212
21-186G-20,1,210,187127.81000000006,1,1,1,111
21-186G-200,0,34,32173.510000000013,1,3,3,133
21-186G-2020,14,29,26571.890000000007,3,4,3,343
21-186G-2021,0,285,186862.76999999973,1,1,1,111
21-186G-2022,13,32,9791.659999999998,3,4,4,344
21-186G-2033,3,29,11598.050000000001,1,4,4,144
21-186G-2036,0,187,95478.70000000001,1,1,1,111
21-186G-2037,3,52,47593.15,1,3,2,132
21-186G-204,2,56,62468.899999999994,1,3,2,132
21-186G-2045,10,151,214456.2299999999,2,1,1,211
21-186G-2047,378,35,44886.100000000006,4,3,2,432
21-186G-2048,0,130,130166.25999999998,1,1,1,111
21-186G-2050,374,46,43120.01000000002,4,3,2,432
21-186G-2052,3,85,51284.30999999998,1,2,2,122
21-186G-2055,20,12,7558.779999999999,3,4,4,344
21-186G-2057,34,21,13380.36,3,4,4,344
21-186G-2063,5,55,36037.07,2,3,3,233
21-186G-2065,2,44,26794.30999999999,1,3,3,133
21-186G-2069,9,49,32454.609999999997,2,3,3,233
21-186G-207,365,36,23290.78000000001,4,3,3,433
21-186G-2072,7,19,10967.619999999999,2,4,4,244
21-186G-2073,1,46,26809.810000000005,1,3,3,133
21-186G-2075,371,15,7527.8,4,4,4,444
21-186G-2076,378,10,6024.32,4,4,4,444
21-186G-2085,3,72,19382.42000000001,1,2,3,123
21-186G-2086,86,18,4568.820000000001,4,4,4,444
21-186G-2087,25,13,4504.21,3,4,4,344
21-186G-2091,26,17,5081.199999999999,3,4,4,344
21-186G-2092,3,89,19318.480000000007,1,2,3,123
21-186G-2094,370,16,9226.68,4,4,4,444
21-186G-2099,10,63,31078.34999999999,2,2,3,223
21-186G-2107,86,28,16077.470000000001,4,4,4,444
21-186G-2108,1,91,96110.97000000004,1,2,1,121
21-186G-211,97,10,14285.06,4,4,4,444
21-186G-2111,10,36,29059.05,2,3,3,233
21-186G-2113,64,7,5101.38,4,4,4,444
21-186G-2114,8,47,25543.109999999997,2,3,3,233
21-186G-2115,33,45,28469.699999999997,3,3,3,333
21-186G-2117,376,40,20244.619999999995,4,3,3,433
21-186G-2120,2,38,26638.05,1,3,3,133
21-186G-2128,47,18,24703.02,3,4,3,343
21-186G-2129,35,12,13051.63,3,4,4,344
21-186G-2130,23,19,19887.98,3,4,3,343
21-186G-2137,13,50,55531.74999999997,3,3,2,332
21-186G-2140,59,72,48669.31999999996,4,2,2,422
21-186G-2142,60,94,14695.120000000006,4,2,4,424
21-186G-2147,42,98,27650.030000000002,3,2,3,323
21-186G-2148,132,60,46778.03000000003,4,2,2,422
21-186G-2153,27,24,10759.93,3,4,4,344
21-186G-2155,53,66,30603.42000000001,4,2,3,423
21-186G-2162,365,27,15084.380000000001,4,4,4,444
21-186G-2168,387,27,13666.610000000002,4,4,4,444
21-186G-217,367,86,53522.58,4,2,2,422
21-186G-2183,5,27,16281.99,2,4,4,244
21-186G-22,5,45,13916.5,2,3,4,234
21-186G-2200,7,28,8955.39,2,4,4,244
21-186G-2205,53,6,2363.02,4,4,4,444
21-186G-2208,13,85,50032.92999999999,3,2,2,322
21-186G-2210,5,30,16884.949999999997,2,4,4,244
21-186G-2212,365,25,11348.069999999996,4,4,4,444
21-186G-2216,6,34,38062.43999999998,2,3,2,232
21-186G-2231,4,68,40215.24999999999,2,2,2,222
